House Description,Price,Bedrooms,Bathrooms,Full Baths,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Area,Community,Condo,City,County,Province,Postal Code,Features,Parking Spaces,Parking,Is Waterfront,Has Pool,Interior,Interior Features,Heating,Fireplace,# of Stories,Has Basement,Basement,Separate Entrance,Exterior,Exterior Features,Construction,Foundation,Elementary,Middle,High,Foreclosure,RE / Bank Owned,Office,Bedrooms Above Grade,# of Garages,Garages,Half Baths,Fireplaces,Zoning,Lot Description,HOA Fees,HOA Fees Freq.,Condo Fee
"Live in the heart of downtown! An industrial loft just steps from The Ice District, Roger's Place, Grant MacEwan University, shopping & transit. This contemporary 1-bedroom + large flex space, 2-bath, loft offers raw beauty, industrial aesthetics & a casual, stylish vibe. The open concept, open beam ceiling with high-gloss concrete floors, a metal staircase, has glass railings that lead to an enormous loft bedroom with translucent glass providing a sense of openness & privacy - a few of the unique features. Rich maple cabinets in the kitchen warm the space & stainless steel appliances bring cohesiveness. Off the main living area is the private balcony with west-facing views. Located on the upper level is a three-piece en-suite with a convenient stackable washer & dryer off the huge primary suite with breathtaking sunsets. All appliances, window coverings and most furniture included, plus an underground titled parking stall make this the perfect opportunity for owners and investors alike!","$399,900",1,2.00,2,"1,188",0.00,2005,Condo / Townhouse,Lowrise Apartment,Loft,# 309 10309 107 Street Nw,Edmonton,Downtown,Seventh Street Lofts,Edmonton,ALBERTA,AB,T5J 1K3,"Detectors Smoke, Laundry-In-Suite, No Animal Home, Open Beam, Parking-Visitor, Patio, Secured Parking, Sprinkler System-Fire",,"Heated, Stall, Underground",No,No,Concrete,"Oven-Microwave, Refrigerator, Stacked Washer/Dryer, Stove-Electric, Dishwasher-Built-In, Hood Fan",Forced Air-1,No,2,No,"No Basement, None",No,"Brick, Composition, Metal","Playground Nearby, Public Transportation, Schools, Shopping Nearby, View Downtown",Concrete,Concrete,,,,No,No,Courtesy Of Jessie McCracken Of YEGPro Realty,1,,,,,,,,,$441
"Choose this gem for your starter condo or investment property. Public transportation is right out the door! EXCELLENT Inglewood location with quick access to DT, the trendy shops of 124 street and summertime farmers market. Main level features an open concept kitchen and adjoining living room with private balcony overlooking the greenspace. Below you'll find a large FRESHLY CARPETED bedroom with huge walk in closet plus a large walk in storage pantry and 4 pc bathroom. Parking is assigned with one stall and free on street parking is also available ouside the main door. HEAT and WATER are included in your condo fees.","$69,900",1,1.00,1,704,0.02,1971,Condo / Townhouse,Lowrise Apartment,Multi Level Apartment,Nw,Edmonton,Inglewood,Tiffany Place,Edmonton,ALBERTA,AB,T5M 3M5,"Intercom, Laundry-Common",,Stall,No,No,"Ceramic Tile, Laminate Flooring","Hood Fan, Refrigerator, Stove-Electric","Hot Water, Baseboard",No,2,Yes,"Full, Fully Finished",No,Stucco,"Playground Nearby, Public Transportation, Schools, Shopping Nearby, Public Swimming Pool",Wood Frame,Concrete,,,,No,No,Courtesy Of Treena Michayluk Of Royal Lepage Arteam Realty,,,,,,,,,,$508
"Welcome to Canora! Here is an amazing opportunity to own a property in a very convenient and easy to get to location. Close to the new LRT line and public transit. Within 7 minutes to West Edmonton Mall and all other amenities. Once inside of this half duplex, you'll be very impressed by the open living area at the front of the home. Kitchen features newer laminate flooring and wall tiles that give it a really modern touch. Primary bedroom is facing east and features a gas fireplace. Adding a new deck will also allow access to it from the primary bedroom. The rest of the main floor features one more bedroom and full bathroom. The basement offers an additional bedroom, full bathroom and a spacious living area. The roof on the property is BRAND NEW and additionally, the water tank is also new. Separate side entrance presents an opportunity to legalize a basement suite.","$279,900",3,2.00,2,979,0.00,1975,Single Family,Half Duplex,Bungalow,10333 153 Street Nw,Edmonton,Canora,,Edmonton,ALBERTA,AB,T5P 2B7,"Detectors Smoke, Exterior Walls- 2x6', No Animal Home, No Smoking Home, Skylight",,"Front Drive Access, Parking Pad Cement or Paved",No,No,"Ceramic Tile, Laminate Flooring","Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer",Forced Air-1,Yes,2,Yes,"Full, Partly Finished",Yes,"Stucco, Vinyl","Back Lane, Fenced, Flat Site, Landscaped, Playground Nearby, Public Transportation, Schools",Wood Frame,Concrete,Brightview School,Britannia School,Ross Sheppard,No,No,Courtesy Of Dragic Janjic Of RE/MAX River City,2,,,,"Gas, Wood, Insert, Woodstove",,,,,
"Move in tomorrow! Half duplex bungalow located in Canora is an investors dream! The main floor offers ample light in the living room & dining room leading into the the bright kitchen. 3 good sized bedrooms & a 4 pc bathroom completes the main floor. The partially finished basement features a separate entrance, 2 bedrooms, kitchenette, in-suite laundry, full bathroom, large storage room and a spacious living room. Don’t forget the huge yard with a cement patio. Rear alley access with a parking pad completes the property. Located in west Edmonton near all amenities including shopping, schools, parks and transit. Conveniently located minutes to the Whitemud, Yellowhead and Downtown. The perfect project property ready for new owners. All this home needs is YOU!","$259,900",5,2.00,2,986,0.08,1975,Single Family,Half Duplex,Bungalow,10442 152 Street Nw,Edmonton,Canora,,Edmonton,ALBERTA,AB,T5P 1Y6,"Fire Pit, Detectors Smoke, Patio, Cable TV Connection",,"Parking Pad Cement or Paved, Rear Drive Access",No,No,"Carpet, Laminate Flooring, Non-Ceramic Tile","Refrigerator, Stove-Electric, Washer, Dishwasher-Built-In, Dryer",Forced Air-1,No,1,Yes,"Full, Partly Finished",Yes,Brick,"Back Lane, Fenced, Schools, Shopping Nearby, Flat Site, Playground Nearby, Public Transportation",Wood Frame,Concrete,Brightview School (K-6),Britannia School (7-9),Ross Sheppard (10-12),No,No,Courtesy Of David St. Jean Of RE/MAX River City,3,,,,,,,,,
"Cobogo Lofts is one of Edmonton's premium, true Manhattan style, warehouse loft conversions. Unit 503 is a stunning top floor jewel, and the largest suite in the building. 13 foot ceilings, and over 1900 square feet of open and cavernous space. Exposed brick walls, wood columns, and original hardwood floors dating to 1913. Urbane sophistication, and rustic charm blend perfectly. Chef's kitchen, with expansive stainless counters, and floor to ceiling backsplash, as well as a premium appliance package. Three bedroom areas make for flexible spaces, with an absolutely stunning master suite. King sized, with two walls of wardrobes, and a 5 piece spa like ensuite that befits this gem. Extensive mechanical upgrades give both summer and winter comfort perfection. Large windows with commanding views, that climax on the huge private balcony that makes the downtown skyline the backdrop to your entertaining. Heated underground parkade, all with a premium 104 Street address.","$699,000",3,3.00,2,"1,905",0.01,1913,Condo / Townhouse,Lowrise Apartment,Loft,# 503 10249 104 Street Nw,Edmonton,Downtown,Cobogo Lofts,Edmonton,ALBERTA,AB,T5J 1B1,"Barrier Free Home, Air Conditioner, Ceiling 10 ft., Closet Organizers, Deck, Laundry-In-Suite, No Animal Home, No Smoking Home, Open Beam, Secured Parking, Security Door, Sprinkler System-Fire, Storage-Locker Room, Vaulted Ceiling",1,"Heated, Parkade, Underground",No,No,"Ceramic Tile, Hardwood","Refrigerator, Stacked Washer/Dryer, Stove-Gas, Window Coverings, Air Conditioning-Central, Dishwasher-Built-In, Fan-Ceiling, Garage Opener, Hood Fan","Fan Coil, Forced Air-1",No,5,No,"No Basement, None",No,Brick,"Public Transportation, Schools, Shopping Nearby, Ski Hill, View City, View Downtown",Brick,Concrete,,,,No,No,Courtesy Of Chris Blower Of RE/MAX River City,3,,,1,,RA7,,,,$670
"GREAT LOCATION and LOW CONDO FEES! You can own this cozy one bed condo for less than you can rent it for, even with current interest rates! This building is the best in Queen Mary Park with lots of upgrades in the last 10 years including roof and mechanical & the common area decor is absolutely charming with crown molding and pastel colors. This 2nd floor one bed condo is south facing so it has tons of natural light and is an open concept floor plan with all tile and laminate flooring. The kitchen has 4 newer appliances, large walk in pantry, and eating bar. The bedroom is spacious offering ample closet space and the 4-piece bath has a newer tub & tile surround. Enjoy the convenience of being close to Grant MacEwan, NAIT, Royal Alex Hospital, Kingsway Mall and downtown. Excellent managed condo corporation, convenient location and low condo fees make this a great choice for first time buyers or investors.","$79,000",1,1.00,1,493,0.00,1968,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 10 10812 115 Street Nw,Edmonton,Queen Mary Park,Queens Ridge,Edmonton,ALBERTA,AB,T5H 3L1,"Detectors Smoke, Laundry-Common, No Animal Home, No Smoking Home, Parking-Plug-Ins, See Remarks",1,Stall,No,No,"Ceramic Tile, Laminate Flooring","Dishwasher-Built-In, Fan-Ceiling, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Window Coverings",Baseboard,No,1,No,"None, No Basement",No,"Brick, Vinyl","Golf Nearby, Playground Nearby, Public Swimming Pool, Public Transportation, Schools, Shopping Nearby, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Robert McLeod Of McLeod Realty & Management LTD,1,,,,,,,,,$385
"Rare floorplan for this corner 2 bedroom condo located on the top floor with a wrap-around balcony. Large family room with a dining room , perfect for a family. Recently renovated with quartz counter kitchen counter top. New paint and flooring. In-suite laundry in this spacious 900+ sqft location. Plenty of parking space for guest available. Convenient location with quick access to yellowhead and Anthony Henday. A must see.","$189,000",2,2.00,2,903,0.02,2008,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 439 1180 Hyndman Road Nw,Edmonton,Canon Ridge,Avenue At Hermitage,Edmonton,ALBERTA,AB,T5A 0P8,Laundry-In-Suite,,2 Outdoor Stalls,No,No,Laminate Flooring,"Dishwasher-Built-In, Dryer, Oven-Microwave, Refrigerator, Stove-Electric, Washer, Window Coverings",Baseboard,No,1,No,"None, No Basement",No,Vinyl,"Schools, Shopping Nearby, River View",Wood Frame,Concrete,,,,No,No,Courtesy Of Maroun Estephan Of RE/MAX Excellence,2,,,,,,,,,$455
"WOW Newly renovated & freshly painted! Sunny & bright describes this main floor 2 bedroom condo in Californian Manor in Edmonton's Woodcroft area! This 50+ adults only, open concept condo has been updated with new laminate floors in bedrooms, laundry & bathroom! (No carpets!) This condo unit features a lovely south & west facing exposure w/oak cabinets, plenty of cabinets with ample counter space, fridge & stove, B/I dishwasher with a spacious large combined living/dining area that steps out to the balcony facing the front courtyard! 2 bedrooms with added bonus of a laundry room with washer/dryer! This condo comes with a/c, titled underground parking stall & storage! Upon entering the Californian Manor lobby you immediately feel the ""classy pride of ownership""! Added amenities include the social room, library/craft room, exercise room, car wash in parkade! Minutes from Groat Road, across street from Westmount Mall, medical offices and steps from Woodcroft library & bus stop out front door!","$159,800",2,1.00,1,882,0.02,1996,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 108 13450 114 Avenue Nw,Edmonton,Woodcroft,Californian Manor,Edmonton,ALBERTA,AB,T5M 4C4,"Air Conditioner, Laundry-In-Suite, No Animal Home, No Smoking Home, Car Wash, Exercise Room, Parking-Visitor, Security Door, Social Rooms, Storage-Locker Room",,"Stall, Underground",No,No,Laminate Flooring,"Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer, Window Coverings, Air Conditioner-Window, Fan-Ceiling",In Floor Heat System,No,1,No,"None, No Basement",No,Stucco,"Golf Nearby, Public Transportation, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Shelley Littlefair Of Homes & Gardens Real Estate Limited,,,,,,,,,,$531
"QUICK POSSESSION AVAILABLE! Investment opportunity or perfect for students searching in the mature neighbourhood of Westwood!! FRESH PAINT, NEW APPLIANCES and well maintained. Great unit with an open layout, nice sized bedrooms and lots of cabinet space. Perfect low rise complex for University and college students or investors looking for an easy to rent condo! This single level 2 bedroom apartment includes a titled outdoor stalls and within walking distance to NAIT, Kingsway Mall and steps to the LRT line. Clean and well taken care of, with in suite laundry and a nice size balcony overlooking the mature trees. This unit has been rented out to students for an average of $1,300/month. Location is conveniently with quick access to downtown and Yellowhead.","$150,000",2,1.00,1,757,0.00,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 204 11827 105 Street Nw,Edmonton,Westwood,Arcadia Place,Edmonton,ALBERTA,AB,T5G 2N1,"Laundry-In-Suite, No Animal Home, See Remarks, Intercom, Parking-Plug-Ins",,2 Outdoor Stalls,No,No,"Carpet, Ceramic Tile","Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer",Hot Water,No,1,No,"No Basement, None",No,"Vinyl, Brick","Public Transportation, Schools, Shopping Nearby, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Juliana Salvador Of 2% Realty Pro,2,,,,,,,,,$513
"Welcome to this lovely half duplex in the community of Kensington! This home has a great location across the street from a school, close to all amenities and quick access to the Yellowhead. The main floor offers a spacious living room, dining room and kitchen. There is also 3 good sized bedrooms and a 4 piece bathroom. The basement is partly finished with a huge family and tons of storage space. Some upgrades include shingles in 2018, newer furnace, 6ft fence and hot water tank in Oct 2022. The spacious backyard is fully fenced and landscaped with a storage shed and children's play house that can be used for additional storage. There is also space to park 2 vehicles at the back. This is a great property for a first time home buyer or someone looking to downsize. A must see property!","$259,900",3,1.00,1,936,0.08,1965,Single Family,Half Duplex,Bungalow,13441 119 Street Nw,Edmonton,Kensington,,Edmonton,ALBERTA,AB,T5E 5M9,Wall Unit-Built-In,2,"Rear Drive Access, Off Street",No,No,"Carpet, Hardwood, Laminate Flooring","Dryer, Refrigerator, Stove-Electric, Washer, Freezer",Forced Air-1,No,1,Yes,"Full, Partly Finished",Yes,"Stucco, Vinyl","Back Lane, Fenced, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby",Wood Frame,Concrete,,,,No,No,Courtesy Of Kaylie Cole Of FairSquare Group Realty,3,,,,,,,,,
